,premise,choice1,choice2,label,question
5066,take out the shopping list from the car.,wait for them to be scanned.,go to grocery store by car.,1,cause
5067,take out the shopping list from the car.,cashier rings up items.,find a grocery store.drive  to the store.,1,cause
5068,take out the shopping list from the car.,cashier rings up items.,go to grocery store by car.,1,cause
5069,take out the shopping list from the car.,bill it in the counter.,take your car and drive to grocery shop.,1,cause
5070,drive to grocery store.,take out the shopping list from the car.,wait to know the total amount to be paid.,0,effect
5071,drive to store.,take out the shopping list from the car.,cashier gives total amount to be paid.,0,effect
5072,"visit the mall by car, park the vehicle.",take out the shopping list from the car.,wait to know the total amount to be paid.,0,effect
5073,drive to nearest grocery store.,take out the shopping list from the car.,"when all items are scanned, the cashier will give you a total.",0,effect
5074,drive to store.,take out the shopping list from the car.,cashier gives you total amount to be paid.,0,effect
5075,take out the shopping list from the car.,"when all items are scanned, the cashier will give you a total.",drive to the grocery store.,1,cause
5076,take out the shopping list from the car.,cashier gives you total amount to be paid.,go to grocery store by car.,1,cause
5077,take out the shopping list from the car.,cashier gives total.,drive to the grocery store.,1,cause
5078,take out the shopping list from the car.,cashier gives you total.,"visit the mall by car, park the vehicle.",1,cause
5079,take out the shopping list from the car.,cashier gives total amount to be paid.,drive to nearest grocery store.,1,cause
5080,drive to store and park.,take out the shopping list from the car.,take out money from the wallet.,0,effect
5081,drive to nearest grocery store.,take out the shopping list from the car.,take the money out of wallet for paying the bill.,0,effect
5082,drive to store and park.,take out the shopping list from the car.,get wallet and take money out of it.,0,effect
5083,drive to store.,take out the shopping list from the car.,take out money from the wallet.,0,effect
5084,get to a shop by driving.,take out the shopping list from the car.,take out money from the wallet.,0,effect
5085,take out the shopping list from the car.,take out money from the wallet.,drive to grocery store.,1,cause
5086,take out the shopping list from the car.,take out money from the wallet.,drive to the grocery store.,1,cause
5087,take out the shopping list from the car.,take the money out of wallet for paying the bill.,drive to grocery store of choice.,1,cause
5088,take out the shopping list from the car.,take the money out of wallet for paying the bill.,drive to store.,1,cause
5089,take out the shopping list from the car.,take out money from the wallet.,get to a shop by driving.,1,cause
5090,find a grocery nearby.go to grocery by driving.,take out the shopping list from the car.,pay for grocery.,0,effect
5091,drive to nearby grocery store.,take out the shopping list from the car.,pay for grocery.,0,effect
5092,drive to store and park.,take out the shopping list from the car.,pay for items with cash or credit.,0,effect
5093,go to the store by driving.,take out the shopping list from the car.,pay for items.,0,effect
5094,drive to grocery store.,take out the shopping list from the car.,pay for items at check out.,0,effect
5095,take out the shopping list from the car.,pay for groceries.,go to the store by driving.,1,cause
5096,take out the shopping list from the car.,pay for grocery.,drive to grocery store.,1,cause
5097,take out the shopping list from the car.,pay for items.,go to grocery store by car.,1,cause
5098,take out the shopping list from the car.,pay for items at check out.,drive to grocery store.,1,cause
5100,drive to store.,take out the shopping list from the car.,pack the purchased items.,0,effect
5101,drive the car to the grocery.,take out the shopping list from the car.,pack the things in your bag and prepare to leave the mall.,0,effect
5102,go to the store by your own vehicle.,take out the shopping list from the car.,pack purchased grocery items.,0,effect
5103,go to the store by driving.,take out the shopping list from the car.,bag items.,0,effect
5104,drive the car to the grocery.,take out the shopping list from the car.,"if necessary, bag your items.",0,effect
5105,take out the shopping list from the car.,bagger bags groceries.,drive to store.,1,cause
5106,take out the shopping list from the car.,"if necessary, bag your items.",drive to nearest grocery store.,1,cause
5107,take out the shopping list from the car.,pack purchased grocery items.,drive the car to the grocery.,1,cause
5108,take out the shopping list from the car.,bag the groceries.,drive to grocery store.,1,cause
5109,take out the shopping list from the car.,pack the purchased items.,drive to store.,1,cause
5110,drive to the nearby store.,take out the shopping list from the car.,"as the cashier bags items, place them back into your cart.",0,effect
5111,go to grocery store by vehicle.,take out the shopping list from the car.,put bags in cart.,0,effect
5112,go to the store by your own vehicle.,take out the shopping list from the car.,bagger places in cart.,0,effect
5113,go to the store by driving your own vehicle.,take out the shopping list from the car.,put bags in cart.,0,effect
5114,find a grocery store.drive  to the store.,take out the shopping list from the car.,bagger places in cart.,0,effect
5115,take out the shopping list from the car.,"as the cashier bags items, place them back into your cart.","visit the mall by car, park the vehicle.",1,cause
5116,take out the shopping list from the car.,"as the cashier bags items, place them back into your cart.",drive to store.,1,cause
5117,take out the shopping list from the car.,put the bagged items in the cart.,drive to grocery store.,1,cause
5119,take out the shopping list from the car.,"as the cashier bags items, place them back into your cart.",drive to grocery store.,1,cause
5120,drive to grocery store.,take out the shopping list from the car.,get receipt.,0,effect
5121,find a grocery store.drive  to the store.,take out the shopping list from the car.,get receipt.,0,effect
5122,go to grocery store by vehicle.,take out the shopping list from the car.,get the bill.,0,effect
5123,drive to the grocery store.,take out the shopping list from the car.,get the bill for groceries.,0,effect
5124,go to the store by car.,take out the shopping list from the car.,get receipt.,0,effect
5125,take out the shopping list from the car.,get the bill.,go to the grocery store by car.,1,cause
5126,take out the shopping list from the car.,get receipt.,go to the store by driving.,1,cause
5127,take out the shopping list from the car.,get receipt.,drive to grocery store of choice.,1,cause
5128,take out the shopping list from the car.,get receipt.,drive to grocery store.,1,cause
5129,take out the shopping list from the car.,get the bill.,go to grocery store by car.,1,cause
5130,drive to store.,take out the shopping list from the car.,place cart into cart corral.,0,effect
5131,drive to nearest grocery store.,take out the shopping list from the car.,place cart into cart corral.,0,effect
5132,find a grocery store.drive  to the store.,take out the shopping list from the car.,return cart to store.,0,effect
5133,drive the car to the grocery.,take out the shopping list from the car.,return cart to store.,0,effect
5134,drive to grocery store.,take out the shopping list from the car.,place cart into cart corral.,0,effect
5135,take out the shopping list from the car.,return cart to store.,drive the car to the grocery.,1,cause
5136,take out the shopping list from the car.,return cart to store.,drive to grocery store.,1,cause
5137,take out the shopping list from the car.,return cart to store.,find a grocery nearby.go to grocery by driving.,1,cause
5138,take out the shopping list from the car.,place cart into cart corral.,make a trip to the store by car.,1,cause
5139,take out the shopping list from the car.,return cart to store.,go to grocery store by car.,1,cause
5140,drive to store.,enter the grocery store and grab a shopping cart.,get a cart.,0,effect
5141,"visit the mall by car, park the vehicle.",enter super market.,get shopping cart.,0,effect
5142,go to the store by car.,enter the store.,in your favorite store take a trolley if more things to be purchased or a bag for small.,0,effect
5143,drive to the grocery store.,enter super market.,in your favorite store take a trolley if more things to be purchased or a bag for small.,0,effect
5144,go to the store by car.,go into grocery store.,get a cart.,0,effect
5145,go into grocery store.,grab a shopping cart.,drive to grocery store.,1,cause
5146,go into store.,get a basket.,find a grocery store.drive  to the store.,1,cause
5147,enter the grocery store and grab a shopping cart.,get grocery cart.,drive to grocery store.,1,cause
5148,enter the store.,grab a grocery cart.,go to the store by car.,1,cause
5149,enter store.,get a grocery cart.,go to the store by car.,1,cause
5150,drive to nearby grocery store.,go into grocery store.,go up and down the aisles.,0,effect
5151,drive to store.,enter super market.,browse the store.,0,effect
5152,find a grocery nearby.go to grocery by driving.,walk into store.,walk through store and place items you want into cart.,0,effect
5153,find a grocery nearby.go to grocery by driving.,enter the grocery store and grab a shopping cart.,walk through store.,0,effect
5154,go to the store by driving.,go into store.,find what aisles you need to go to.,0,effect
5155,enter store.,go up and down the aisles.,drive to grocery store.,1,cause
5156,go into grocery store.,go up and down the aisles.,go to store by driving.,1,cause
5157,go into store.,go down aisles.,go to the grocery store by car.,1,cause
5158,enter the grocery store and grab a shopping cart.,stroll through store and get needed items.,drive to store.,1,cause
5159,enter super market.,walk through store.,go to the store by your own vehicle.,1,cause
5160,go to grocery store by car.,enter the store.,select grocery items from shelf.,0,effect
5161,drive to store.,enter the store.,pick up refridgerated and frozen items last.,0,effect
5162,drive to store.,enter the store.,"select the items from shelf, get them one by one.",0,effect
5163,take your car and drive to grocery shop.,enter grocery store.,"first pick up the bottle things so that it goes in bottom of the trolley.then shop for the packet items.now time for oil, milk items so that it won't get crushed by other heavy things.",0,effect
5164,go to grocery store by car.,go in store.,find groceries.put them in the cart.,0,effect
5165,enter grocery store.,pick up everything and put into your cart.,go to store by driving.,1,cause
5166,enter grocery store.,put items in cart while shopping.,find a grocery nearby.go to grocery by driving.,1,cause
5167,enter store.,find the items on grocery shelf.put them in your cart.,drive to nearby grocery store.,1,cause
5168,enter super market.,find items that you need.,drive to grocery store.,1,cause
5169,enter super market.,put items i need in cart.,drive to the grocery store.,1,cause
5170,go to the grocery store by car.,check your list at each aisle to ensure you haven't missed anything.,enter grocery store.,1,effect
5171,make a trip to the store by car.,cross them off your list(check if all items on list are purchased).,go into grocery store.,1,effect
5172,drive to nearest grocery store.,check your list at each aisle to ensure you haven't missed anything.,enter the shopping place and take a trolley.,1,effect
5173,drive to grocery store.,check whether the list is complete(all things on list are purchased).,enter grocery store.,1,effect
5174,go to the favorite grocery shop by car.,cross them off your list(check if all items on list are purchased).,enter the store.,1,effect
5175,enter the shopping place and take a trolley.,check whether the list is complete(all things on list are purchased).,drive to store.,1,cause
5176,enter grocery store.,cross check the purchased items with your list.,drive to grocery store.,1,cause
5177,enter super market.,check your list at each aisle to ensure you haven't missed anything.,"visit the mall by car, park the vehicle.",1,cause
5178,enter the shopping place and take a trolley.,check your list at each aisle to ensure you haven't missed anything.,drive to nearby grocery store.,1,cause
5179,go inside.,check whether the list is complete(all things on list are purchased).,drive to grocery store.,1,cause
5180,get to a shop by driving.,walk in to the store.,go to checkout counter.,0,effect
5181,drive to nearby grocery store.,walk into store.,navigate to checkout.,0,effect
5182,drive to grocery store.,enter grocery store.,get in checkout line.,0,effect
5183,drive to the grocery store.,go into grocery store.,head for the counter.,0,effect
5184,take your car and drive to grocery shop.,enter store.,take to check out.,0,effect
5185,enter the store.,bring cart to cashier.,drive to grocery store of choice.,1,cause
5186,enter store.,bring cart to cashier.,drive to store.,1,cause
5187,enter grocery store.,go to the checkout and pay.,drive to store.,1,cause
5188,enter grocery store.,take your items to the checkout counter.,drive to grocery store.,1,cause
5189,go into store and locate items to buy.,go up to check out line.,drive to store.,1,cause
5190,drive to store.,enter the store.,wait in line.,0,effect
5191,go to the store by your own vehicle.,go in store.,wait in line for your turn.,0,effect
5192,go to the favorite grocery shop by car.,enter the shopping place and take a trolley.,wait in line.,0,effect
5193,drive to the nearby store.,enter store.,wait in line at checkout.,0,effect
5194,drive to store.,go into store.,wait your turn to pay.,0,effect
5195,enter super market.,wait in line at checkout.,go to grocery store by car.,1,cause
5196,enter store.,stand in line for register.,go to the store by driving your own vehicle.,1,cause
5197,walk in to the store.,wait in line.,go to the favorite grocery shop by car.,1,cause
5198,go into store.,line up to pay.,drive to the grocery store.,1,cause
5199,go in store.,wait in line for checkout.,drive to store.,1,cause
5200,drive to store.,present any coupons you may have for items purchased.,enter grocery store.,1,effect
5201,"visit the mall by car, park the vehicle.",present any coupons you may have for items purchased.,enter super market.,1,effect
5202,drive to store.,present any coupons you may have for items purchased.,enter store.,1,effect
5203,drive to store.,present any coupons you may have for items purchased.,enter the store.,1,effect
5204,drive to grocery store.,present any coupons you may have for items purchased.,enter store.,1,effect
5205,go inside.,present any coupons you may have for items purchased.,drive to store.,1,cause
5206,enter super market.,present any coupons you may have for items purchased.,drive to store.,1,cause
5207,enter store.,present any coupons you may have for items purchased.,drive to store.,1,cause
5208,go into grocery store.,present any coupons you may have for items purchased.,"visit the mall by car, park the vehicle.",1,cause
5209,walk in store.,present any coupons you may have for items purchased.,drive to nearby grocery store.,1,cause
5210,drive to store.,walk in store.,place items in cart on belt for cashier to scan.,0,effect
5211,drive to store.,go inside.,load items from the cart onto the checkout lane's belt.,0,effect
5212,go to the store by car.,go into grocery store.,put items on belt.,0,effect
5213,find a grocery nearby.go to grocery by driving.,enter store.,put items on belt.,0,effect
5214,drive to grocery store.,walk into store.,put items on conveyor belt.,0,effect
5215,enter the shopping place and take a trolley.,put groceries on belt.,drive to store.,1,cause
5216,walk into store.,put items on belt.,drive to grocery store.,1,cause
5217,enter the grocery store and grab a shopping cart.,put groceries on belt.,go to grocery store by vehicle.,1,cause
5218,enter store.,put all of your groceries on the belt for the cashier to ring up and bag.,drive to nearest grocery store.,1,cause
5219,enter super market.,place items in cart on belt for cashier to scan.,drive to store.,1,cause
5220,drive to store.,walk in store.,take groceries one by one for billing.,0,effect
5221,go to grocery store by car.,walk in to the store.,check out food.,0,effect
5222,go to grocery store by car.,enter store.,bill it in the counter.,0,effect
5223,drive to store.,enter store.,wait for them to be scanned.,0,effect
5224,drive to grocery store.,enter store.,bill it in the counter.,0,effect
5225,walk in store.,wait for cashier to finish ringing you up.,drive to grocery store.,1,cause
5226,enter grocery store.,watch prices as the checker scans.,drive to nearest grocery store.,1,cause
5227,walk in to the store.,wait for the cashier to ring the order up.,drive to grocery store of choice.,1,cause
5228,go in store.,wait for them to be scanned.,take your car and drive to grocery shop.,1,cause
5229,enter the store.,scan all my items while somebody bags them.,drive to nearest grocery store.,1,cause
5230,drive to the grocery store.,walk in to the store.,"when all items are scanned, the cashier will give you a total.",0,effect
5231,drive to the nearby store.,enter store.,"when all items are scanned, the cashier will give you a total.",0,effect
5232,drive to store.,go into store.,cashier gives total amount to be paid.,0,effect
5233,drive to grocery store.,walk in to the store.,cashier gives total amount to be paid.,0,effect
5234,go to the favorite grocery shop by car.,go inside.,cashier gives you total.,0,effect
5235,go into store and locate items to buy.,wait to know the total amount to be paid.,drive to store.,1,cause
5236,enter store.,cashier gives total amount to be paid.,drive to nearby grocery store.,1,cause
5237,enter grocery store.,wait to know the total amount to be paid.,go to the store by driving your own vehicle.,1,cause
5238,enter grocery store.,cashier gives you total amount to be paid.,go to the store by driving your own vehicle.,1,cause
5239,enter the store.,cashier gives you total amount to be paid.,drive to grocery store.,1,cause
5240,drive to grocery store.,enter the store.,take out money from the wallet.,0,effect
5241,take your car and drive to grocery shop.,enter the shopping place and take a trolley.,take the money out of wallet for paying the bill.,0,effect
5242,drive to the grocery store.,enter store.,take out money from the wallet.,0,effect
5243,go to the store by your own vehicle.,enter grocery store.,take the money out of wallet for paying the bill.,0,effect
5244,go to the favorite grocery shop by car.,go into grocery store.,get wallet and take money out of it.,0,effect
5245,enter store.,take the money out of wallet for paying the bill.,go to the store by your own vehicle.,1,cause
5246,enter store.,take the money out of wallet for paying the bill.,drive to grocery store.,1,cause
5247,enter the shopping place and take a trolley.,get wallet and take money out of it.,go to grocery store by vehicle.,1,cause
5248,walk in to the store.,take out money from the wallet.,drive to grocery store.,1,cause
5249,walk into store.,take out money from the wallet.,go to store by driving.,1,cause
5250,drive to the nearby store.,enter grocery store.,pay for your groceries.,0,effect
5251,make a trip to the store by car.,enter the grocery store and grab a shopping cart.,pay for groceries.,0,effect
5252,drive to grocery store of choice.,enter grocery store.,"once all items are bagged, pay the cashier.",0,effect
5253,drive to grocery store.,enter super market.,pay for items.,0,effect
5254,drive to grocery store of choice.,walk in to the store.,pay for grocery.,0,effect
5255,enter grocery store.,pay the cashier.,drive to the grocery store.,1,cause
5256,go in store.,pay cashier.,"visit the mall by car, park the vehicle.",1,cause
5257,walk in to the store.,pay for food.,go to store by driving.,1,cause
5258,enter grocery store.,pay by credit card.,go to the grocery store by car.,1,cause
5259,go into store and locate items to buy.,pay for items.,drive to store.,1,cause
5260,go to the store by car.,go inside and pick up items.,"if necessary, bag your items.",0,effect
5261,drive to store.,enter grocery store.,bag food.,0,effect
5262,go to grocery store by vehicle.,enter the store.,pack the things in your bag and prepare to leave the mall.,0,effect
5263,go to store by driving.,go into store.,pack the purchased items.,0,effect
5264,go to store by driving.,enter the grocery store and grab a shopping cart.,pack purchased grocery items.,0,effect
5265,go into grocery store.,"if necessary, bag your items.",drive to the grocery store.,1,cause
5266,go into store and locate items to buy.,bagger places items into bags.,find a grocery nearby.go to grocery by driving.,1,cause
5267,walk into store.,bag the groceries.,drive to grocery store.,1,cause
5268,enter the grocery store and grab a shopping cart.,pack the things in your bag and prepare to leave the mall.,find a grocery nearby.go to grocery by driving.,1,cause
5269,go into store.,put groceries in a bag.,drive to grocery store.,1,cause
5270,drive to store.,put the bagged items in the cart.,enter store.,1,effect
5271,drive to grocery store.,put bags in cart.,enter store.,1,effect
5272,drive to store.,place bags of groceries into cart.,enter grocery store.,1,effect
5273,drive to the grocery store.,put bags in cart.,enter the shopping place and take a trolley.,1,effect
5274,drive to grocery store.,put bags in cart.,enter grocery store.,1,effect
5275,enter the store.,"as the cashier bags items, place them back into your cart.",go to the store by car.,1,cause
5276,go into grocery store.,"as the cashier bags items, place them back into your cart.",drive to store.,1,cause
5277,go in store.,place bags of groceries into cart.,drive to store.,1,cause
5278,go inside.,put bags in cart.,drive the car to the grocery.,1,cause
5279,enter the store.,put bags in cart.,drive to store.,1,cause
5280,drive to grocery store of choice.,enter the store.,get the bill for groceries.,0,effect
5281,go to store by driving.,go into grocery store.,get receipt.,0,effect
5282,get to a shop by driving.,go into grocery store.,get receipt.,0,effect
5283,go to grocery store by vehicle.,go into store.,get the bill.,0,effect
5284,drive to store.,go into store and locate items to buy.,get the bill.,0,effect
5285,go in store.,get receipt.,drive to store.,1,cause
5286,walk in to the store.,get the bill.,go to the favorite grocery shop by car.,1,cause
5287,enter grocery store.,get the bill for groceries.,drive to grocery store.,1,cause
5288,walk in store.,get receipt.,drive to the grocery store.,1,cause
5289,go into grocery store.,get receipt.,go to the grocery store by car.,1,cause
5290,go to the store by your own vehicle.,enter the store.,place cart into cart corral.,0,effect
5291,go to the favorite grocery shop by car.,enter the store.,place cart into cart corral.,0,effect
5292,drive to store and park.,enter grocery store.,return cart to store.,0,effect
5293,drive to nearest grocery store.,go into grocery store.,return cart to store.,0,effect
5294,drive to the grocery store.,enter the shopping place and take a trolley.,place cart into cart corral.,0,effect
5295,enter store.,return cart to store.,take your car and drive to grocery shop.,1,cause
5296,enter grocery store.,return cart to store.,drive to store and park.,1,cause
5297,enter store.,return cart to store.,drive to grocery store.,1,cause
5298,walk in to the store.,return cart to store.,drive to store and park.,1,cause
5299,enter super market.,place cart into cart corral.,drive to grocery store.,1,cause
5300,place bags of groceries into cart.,drive the car to the grocery.,take a shopping cart.,1,cause
5301,put bags in cart.,drive to grocery store.,take a cart.,1,cause
5302,put the bagged items in the cart.,drive to grocery store.,grab a shopping cart.,1,cause
5303,put bags in cart.,drive to grocery store.,grab a cart.,1,cause
5304,put bags in cart.,go to the grocery store by car.,get a cart.,1,cause
5305,get a shopping cart if needed.,bagger places in cart.,drive to nearest grocery store.,0,effect
5306,grab a shopping cart.,bagger places in cart.,go to grocery store by car.,0,effect
5307,get a shopping cart from the front store.,put bags in cart.,make a trip to the store by car.,0,effect
5308,get shopping cart.,put bags in cart.,go to the store by your own vehicle.,0,effect
5309,get a shopping cart from the front store.,put bags in cart.,drive to nearby grocery store.,0,effect
5310,walk out to the car.put the items in the car.,get shopping cart.,drive to store.,1,cause
5311,go back to the car.put the bags in the car.,get cart.,go to grocery store by car.,1,cause
5312,put bought items in car.,get a cart.,drive to store.,1,cause
5313,go back to the car.put the bags in the car.,get a shopping cart.,go to grocery store by vehicle.,1,cause
5314,go back to the car.put the bags in the car.,in your favorite store take a trolley if more things to be purchased or a bag for small.,drive to store.,1,cause
5315,go to the store by car.,walk out to the car.put the items in the car.,grab a cart.,0,effect
5316,drive to store.,walk out of store.put groceries in car.,grab a cart.,0,effect
5317,drive to the grocery store.,take cart to car.put bags in car.,get a shopping cart if required.,0,effect
5318,"visit the mall by car, park the vehicle.",push cart to your car.put groceries in your trunk.,get a basket.,0,effect
5319,go to store by driving.,take groceries to your car and load them up.,get a shopping cart from the front store.,0,effect
5320,return cart to store.,go to the store by driving your own vehicle.,get grocery cart.,1,cause
5321,return cart to store.,make a trip to the store by car.,grab a shopping cart.,1,cause
5322,place cart into cart corral.,drive to store.,"if several items are needed, grab a basket.",1,cause
5323,return cart to store.,go to grocery store by car.,grab a cart.,1,cause
5324,place cart into cart corral.,go to grocery store by car.,get a basket if needed.,1,cause
5325,get a cart.,place cart into cart corral.,go to the store by driving your own vehicle.,0,effect
5326,take a cart.,return cart to store.,drive to the nearby store.,0,effect
5327,find cart.,place cart into cart corral.,drive to the grocery store.,0,effect
5328,grab a shopping cart.,return cart to store.,drive to nearby grocery store.,0,effect
5329,get grocery cart.,place cart into cart corral.,go to store by driving.,0,effect
5330,take groceries to car.,go to store by driving.,go down aisles and retrieve items.,0,cause
5331,walk out to the car.put the items in the car.,find a grocery nearby.go to grocery by driving.,walk through store and place items you want into cart.,0,cause
5332,take your groceries to your car and place them in the car.,drive to the nearby store.,"walk through the aisles of the store, add items to your cart.",0,cause
5333,go to car.,go to grocery store by car.,walk through aisles.,0,cause
5334,take bags to car.,drive to grocery store of choice.,go up and down the aisles.,0,cause
5335,drive to grocery store.,take groceries to your car and load them up.,go aisle by aisle putting the items i want in the cart.,0,effect
5336,drive to store.,leave the store.,go down aisles.,0,effect
5337,drive to grocery store.,walk out to the car.put the items in the car.,walk down desired aisles.,0,effect
5338,drive to grocery store.,put bought items in car.,go aisle by aisle putting the items i want in the cart.,0,effect
5339,go to the store by car.,put bags in car and go home.,go down each aisle and put the groceries you would like to purchase in your cart.,0,effect
5340,check whether the list is complete(all things on list are purchased).,drive to grocery store.,put items in cart you want .,1,cause
5341,cross check the purchased items with your list.,"visit the mall by car, park the vehicle.",find groceries.,1,cause
5342,check your list at each aisle to ensure you haven't missed anything.,drive to store.,find the items you want to purchase from grocery rack.,1,cause
5343,cross check the purchased items with your list.,drive to store.,get what you need from the aisles.,1,cause
5344,cross them off your list(check if all items on list are purchased).,drive to store.,pick up refridgerated and frozen items last.,1,cause
5345,get items from grocery shelf.put in cart.,check your list at each aisle to ensure you haven't missed anything.,make a trip to the store by car.,0,effect
5346,"get any non-expiring products first.next, go for items like fruit, vegetables, eggs, and bread.finally, get any dairy items.",check your list at each aisle to ensure you haven't missed anything.,drive to grocery store.,0,effect
5347,"get the boxed, bagged, jarred food items from rack.get the cold, frozen and produce.",cross check the purchased items with your list.,drive to store.,0,effect
5348,find groceries.,check your list at each aisle to ensure you haven't missed anything.,go to the favorite grocery shop by car.,0,effect
5349,fill the shopping cart with grocery items.,cross check the purchased items with your list.,go to grocery store by car.,0,effect
5350,take cart to checkout line.,make a trip to the store by car.,get things from grocery shelf.,1,cause
5351,navigate to checkout.,find a grocery store.drive  to the store.,find things required to buy.put them in cart.,1,cause
5352,"after finding everything you need, go to cashier.",drive to store.,get fruits and veggies.get meat.go through the rest of the store for getting remaining things.see a nice cake put it in cart.,1,cause
5353,proceed to checkout.,go to the store by driving.,"get any non-expiring products first.next, go for items like fruit, vegetables, eggs, and bread.finally, get any dairy items.",1,cause
5354,go to checkout line.,drive to grocery store.,gather items from grocery rack.,1,cause
5355,"get any non-expiring products first.next, go for items like fruit, vegetables, eggs, and bread.finally, get any dairy items.",bring items to cashier at front of store.,drive to nearby grocery store.,0,effect
5356,get things from grocery shelf.,"when you are finished picking out what you want to purchase, go to the check out line.",drive to nearest grocery store.,0,effect
5357,put items in cart while shopping.,bring items to cashier at front of store.,go to the store by car.,0,effect
5358,look for the food you want.put food in cart.,bring cart to cashier.,go to the store by driving your own vehicle.,0,effect
5359,walk aisles with cart and fill with items.,navigate to checkout.,find a grocery store.drive  to the store.,0,effect
5360,present any coupons you may have for items purchased.,go to the store by driving.,"get any non-expiring products first.next, go for items like fruit, vegetables, eggs, and bread.finally, get any dairy items.",1,cause
5361,present any coupons you may have for items purchased.,go to grocery store by car.,pick up refridgerated and frozen items last.,1,cause
5362,present any coupons you may have for items purchased.,drive to the grocery store.,find groceries.,1,cause
5363,present any coupons you may have for items purchased.,drive to store and park.,go through store picking items.,1,cause
5365,look for the food you want.put food in cart.,present any coupons you may have for items purchased.,drive to the grocery store.,0,effect
5366,gather items from shelves.,present any coupons you may have for items purchased.,go to grocery store by car.,0,effect
5367,take things off shelf.,present any coupons you may have for items purchased.,"visit the mall by car, park the vehicle.",0,effect
5368,select grocery items from shelf.,present any coupons you may have for items purchased.,drive to grocery store.,0,effect
5369,fill the shopping cart with grocery items.,present any coupons you may have for items purchased.,drive to nearest grocery store.,0,effect
5370,have cashier check you out.,drive to store.,pick up refridgerated and frozen items last.,1,cause
5371,remove items from cart.,drive to store.,find groceries.,1,cause
5372,place items in cart on belt for cashier to scan.,drive to the nearby store.,get things from grocery shelf.,1,cause
5373,place groceries items on conveyor belt.,drive to the grocery store.,get fruits and veggies.get meat.go through the rest of the store for getting remaining things.see a nice cake put it in cart.,1,cause
5374,put items on conveyor belt.,drive to grocery store.,pick groceries from shelf and ddd them to cart.,1,cause
5375,look for the food you want.put food in cart.,drive to store and park.,put items on table.,1,effect
5376,find the food you need and put in cart.,drive to store.,place groceries items on conveyor belt.,1,effect
5377,put items in cart while shopping.,"visit the mall by car, park the vehicle.",put groceries on belt.,1,effect
5378,gather items from shelves.,go to store by driving.,put groceries on belt.,1,effect
5379,gather items from shelves.,drive to store and park.,put items on counter.,1,effect
5380,bill it in the counter.,go to the grocery store by car.,find items on grocery shelf.place items into basket.,1,cause
5381,wait for them to be scanned.,go to grocery store by car.,find groceries.,1,cause
5382,watch prices as the checker scans.,drive to the grocery store.,"get the boxed, bagged, jarred food items from rack.get the cold, frozen and produce.",1,cause
5383,take groceries one by one for billing.,drive to the grocery store.,find the food you need and put in cart.,1,cause
5384,wait for them to be scanned.,drive to store.,find products and put products in your cart.,1,cause
5385,put items in cart you want .,wait for cashier to finish ringing you up.,go to the grocery store by car.,0,effect
5386,find groceries.put them in the cart.,wait for cashier to finish ringing you up.,drive to the nearby store.,0,effect
5387,find products and put products in your cart.,let the cashier ring up your items.,drive to grocery store.,0,effect
5388,put items i need in cart.,bill it in the counter.,drive to the nearby store.,0,effect
5389,find the items on grocery shelf.put them in your cart.,wait for cashier to finish ringing you up.,go to store by driving.,0,effect
5390,"when all items are scanned, the cashier will give you a total.",drive to the grocery store.,put items in cart while shopping.,1,cause
5391,cashier gives total.,go to the store by your own vehicle.,gather items from shelves.,1,cause
5392,wait to know the total amount to be paid.,make a trip to the store by car.,walk aisles with cart and fill with items.,1,cause
5393,cashier gives total amount to be paid.,go to the store by car.,find items on grocery rack.,1,cause
5394,"when all items are scanned, the cashier will give you a total.",drive to the grocery store.,get what you need from the aisles.,1,cause
5395,walk aisles with cart and fill with items.,wait to know the total amount to be paid.,find a grocery nearby.go to grocery by driving.,0,effect
5396,get fruits and veggies.get meat.go through the rest of the store for getting remaining things.see a nice cake put it in cart.,cashier gives total.,drive to store.,0,effect
5397,get items from grocery shelf.put in cart.,cashier gives total amount to be paid.,find a grocery store.drive  to the store.,0,effect
5398,find items that you need.,cashier gives you total.,go to grocery store by vehicle.,0,effect
5399,gather items from shelves.,cashier gives you total amount to be paid.,go to store by driving.,0,effect
5400,get wallet and take money out of it.,drive to store.,find the food you need and put in cart.,1,cause
5401,take out money from the wallet.,drive to store.,find products and put products in your cart.,1,cause
5402,take the money out of wallet for paying the bill.,drive to nearest grocery store.,"select the items from shelf, get them one by one.",1,cause
5403,take the money out of wallet for paying the bill.,drive to grocery store.,select grocery items from shelf.,1,cause
5404,get wallet and take money out of it.,go to store by driving.,"select the items from shelf, get them one by one.",1,cause
5405,gather items from grocery rack.,get wallet and take money out of it.,drive the car to the grocery.,0,effect
5406,find items on grocery rack.,take the money out of wallet for paying the bill.,drive to store.,0,effect
5407,find items on gerocery rack.put items into cart.,take out money from the wallet.,make a trip to the store by car.,0,effect
5408,find products and put products in your cart.,get wallet and take money out of it.,drive to store.,0,effect
5409,put them in the cart.,get wallet and take money out of it.,go to the store by car.,0,effect
5410,pay for items.,drive to store.,put items in cart you want .,1,cause
5411,pay for items at check out.,take your car and drive to grocery shop.,find groceries.,1,cause
5412,pay the total amount.,drive to grocery store.,find items on grocery rack.,1,cause
5413,pay for your items.,drive to grocery store.,"go to shelf and get the boxed, bagged, jarred food items.",1,cause
5414,pay for groceries.,go to the store by car.,gather items from grocery rack.,1,cause
